country,gdp_per_capita,life_expectancy,unemployment_rate
Tunisia,3678.40023411347,74.263,15.3
Turkiye,10674.504157865,78.475,10.465
Turkmenistan,8156.35211950774,69.41,4.109
Turks and Caicos Islands,26802.0673752091,74.925,
Tuvalu,5911.32727055301,64.854,
Uganda,963.067314117178,63.638,2.886
Ukraine,4199.6708984375,68.5879268292683,
United Arab Emirates,49899.0652978649,79.196,2.872
United Kingdom,45935.9276473925,82.0585365853659,3.73
United States,78035.1753604212,77.4341463414634,3.65
Uruguay,20691.9738991763,78.0,7.877
Uzbekistan,2578.66689394219,71.674,4.49
Vanuatu,3265.39645133096,70.492,5.143
"Venezuela, RB",,71.105,5.707
Viet Nam,4116.38576094153,74.58,1.523
Virgin Islands (U.S.),44320.909185774,80.319512195122,13.007
West Bank and Gaza,3799.95527015163,73.444,24.42
"Yemen, Rep.",615.70207931388,63.72,17.363
Zambia,1447.12310138035,61.803,5.995
Zimbabwe,2040.55245910726,59.391,10.087
